time,open,high,low,close,Factor 1,High band,Low band,High band 2,Low band 2,High band 2,Low band 2,Line 1,Line 2,,Plot,Plot,Plot,Plot,Plot,Plot
2024-05-10,21.27,22.07,20.5,21.44,54.11873047814856,67.10473601535067,41.132724940946446,NaN,NaN,NaN,NaN,52.111184031688786,47.16235450087491,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-05-15,21.73,22.1693,21.185,21.76,54.0985755177013,67.10558455421186,41.09156648119074,NaN,NaN,NaN,NaN,51.261288308248446,46.955371068020334,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-05-20,21.77,21.77,21.08,21.17,53.989633589513474,67.12509125006943,40.854175928957524,NaN,NaN,NaN,NaN,50.40332645311385,46.66532195140481,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-05-23,21.39,21.5198,20.63,21.05,53.96428417080101,67.12609987131727,40.80246847028475,NaN,NaN,NaN,NaN,46.84554987675909,46.49576647522471,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-05-29,20.77,22.2,20.64,21.68,54.02865867293475,67.11911025408307,40.93820709178643,NaN,NaN,NaN,NaN,47.388899437072986,46.60468405156482,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-03,21.7,22.98,21.005,22.96,54.1488535607833,67.13446897156646,41.16323815000014,NaN,NaN,NaN,NaN,48.82579854433939,47.053834479345234,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-06,22.98,23.95,22.66,23.13,54.249122893878095,67.15712015076258,41.3411256369936,NaN,NaN,NaN,NaN,50.147108914518675,47.72576165669337,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-11,23.06,24.33,22.89,23.27,54.38081847813145,67.17532944220949,41.586307514053416,NaN,NaN,NaN,NaN,52.05020307669656,48.52614777969652,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-14,23.15,26.025,22.84,25.82,54.82518124379185,67.9120164202214,41.7383460673623,NaN,NaN,NaN,NaN,55.96213547851205,50.33492740833264,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-20,26.44,26.57,23.3,24.16,55.080122410018674,68.03312403141231,42.127120788625035,NaN,NaN,NaN,NaN,57.52548871042556,52.132983346782765,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-25,24.16,25.4,23.9201,25.22,55.46000001426102,68.30752663403337,42.612473394488674,NaN,NaN,NaN,NaN,58.69867922037272,54.0880932511189,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-28,25.28,26.43,25.03,25.83,55.84797311681116,68.70508597270727,42.990860260915056,NaN,NaN,NaN,NaN,60.13040625952468,56.24514297542064,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-07-03,25.96,27.986,25.76,27.7,55.65344299019964,67.88474363645535,43.42214234394393,NaN,NaN,NaN,NaN,62.52751822914935,58.794735581017235,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-07-09,27.93,28.59,26.9,27.64,55.21572409749358,66.57053272727323,43.86091546771392,NaN,NaN,NaN,NaN,62.943036916764505,60.58187220774667,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-07-12,27.32,29.3,27.28,28.67,54.785161635484215,65.0493273852112,44.52099588575722,NaN,NaN,NaN,NaN,65.66366906253931,61.853902558690756,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-07-17,28,29.83,27.6,28.58,54.48301779660293,64.07739258069152,44.888643012514336,NaN,NaN,NaN,NaN,67.53341848351572,62.56522492589575,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-07-22,28.93,29.19,26.58,26.6,53.98024513028111,62.46005542522159,45.500434835340634,NaN,NaN,NaN,NaN,66.71838498342856,62.42769251435031,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-07-25,26.04,27.8,25.42,27.08,53.84698140227941,62.22878661977485,45.46517618478397,NaN,NaN,NaN,NaN,65.15958056061781,61.710251768542186,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-07-30,27.25,27.535,25.83,26.08,53.62032627279952,61.854633212333695,45.38601933326534,NaN,NaN,NaN,NaN,62.634182870332495,60.537519780710504,50,NaN,NaN,NaN,NaN,NaN,NaN
2024-08-02,24.75,27.42,21.23,26.59,53.47449180585836,61.62944805130054,45.31953556041617,NaN,NaN,NaN,NaN,59.96069996355048,59.11208638216066,50,NaN,NaN,NaN,NaN,NaN,NaN
